Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,20p,
C10,0603,1,22u,
C3,0603,1,0.1u,
"C4, C5, C6, C7, C8",0603,5,1u,
C9,0603,1,10u,
D1,LED_ROHM_SMLVN6,1,SMLVN6RGB,
"D2, D3",0603,2,LED_Small,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J2, J3, J4",JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal,3,Conn_01x02,
"R1, R2, R3, R4, R5",0603,5,500,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U2,SOT-223,1,AZ1117CH-3.3TRG1,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2551-I-SN,
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,8M,
