Designator,Mid X,Mid Y,Rotation,Layer
C1,151.0,-109.225,270.0,top
C10,141.75,-114.6,180.0,top
C2,160.0,-109.775,90.0,top
C3,168.035,-89.045,180.0,top
C4,148.5,-92.5,180.0,top
C5,164.0,-96.85,270.0,top
C6,164.0,-103.225,270.0,top
C7,147.0,-103.775,90.0,top
C8,164.0,-100.075,270.0,top
C9,141.725,-116.9,180.0,top
D1,168.2,-115.0,270.0,top
D2,161.7875,-117.1,180.0,top
D3,161.7875,-115.1,180.0,top
J1,155.13,-82.275,90.0,top
J2,136.4375,-104.55,270.0,top
J3,136.4375,-95.55,270.0,top
J4,173.5625,-99.8,90.0,top
R1,170.2,-110.175,270.0,top
R2,168.2,-110.175,270.0,top
R3,166.2,-110.175,270.0,top
R4,156.825,-117.1,0.0,top
R5,156.825,-115.1,0.0,top
SW1,168.1,-84.045,270.0,top
U1,155.0,-100.0,0.0,top
U2,148.2,-114.6,180.0,top
U3,147.375,-87.595,90.0,top
U4,158.275,-87.495,270.0,top
Y1,155.675,-109.75,180.0,top
